Sample,X,Y,Z
0,0.000,-0.578,0.012
1,-0.008,-0.934,0.020
2,-0.008,-0.934,0.020
3,0.004,-0.941,0.020
4,-0.004,-0.941,0.027
5,0.000,-0.938,0.008
6,-0.004,-0.941,0.012
7,0.000,-0.938,0.008
8,0.004,-0.938,0.020
9,0.000,-0.938,0.023
10,0.000,-0.949,0.004
11,0.000,-0.934,0.016
12,-0.004,-0.941,0.000
13,0.000,-0.938,0.016
14,0.004,-0.941,0.023
15,0.004,-0.938,0.020
16,-0.008,-0.934,0.004
17,-0.004,-0.941,0.016
18,0.000,-0.941,0.016
19,-0.004,-0.941,0.016
20,0.004,-0.949,0.004
21,-0.004,-0.949,0.004
22,-0.004,-0.941,0.008
23,0.000,-0.945,0.008
24,0.000,-0.934,0.020
25,0.016,-0.949,0.027
26,0.004,-0.938,-0.020
27,-0.016,-0.953,-0.027
28,0.012,-0.949,-0.035
29,0.000,-0.934,0.043
30,0.004,-0.949,0.008
31,-0.004,-0.938,0.043
32,0.000,-0.938,0.008
33,-0.004,-0.949,-0.004
34,0.000,-0.941,0.000
35,0.000,-0.934,0.008
36,-0.004,-0.941,0.023
37,0.000,-0.941,0.027
38,0.000,-0.953,0.000
39,-0.004,-0.938,0.008
40,-0.008,-0.949,0.008
41,0.000,-0.941,0.016
42,0.004,-0.941,0.020
43,-0.004,-0.941,0.012
44,0.000,-0.941,0.012
45,0.000,-0.941,0.012
46,0.000,-0.953,0.016
47,0.000,-0.938,0.016
48,0.000,-0.945,0.074
49,0.023,-0.953,0.023
50,0.004,-0.949,-0.012
51,-0.031,-0.938,0.023
52,-0.008,-0.930,0.020
53,-0.008,-0.938,0.055
54,-0.008,-0.941,0.020
55,-0.008,-0.945,0.016
56,-0.004,-0.949,0.016
57,0.000,-0.949,0.023
58,-0.004,-0.945,0.016
59,-0.008,-0.938,0.020
60,0.004,-0.938,0.020
61,0.000,-0.949,0.008
62,0.000,-0.938,0.016
63,0.004,-0.949,0.023
64,-0.004,-0.945,0.012
65,-0.004,-0.941,0.012
66,0.004,-0.941,0.020
67,0.000,-0.941,0.012
68,0.000,-0.941,0.012
69,0.000,-0.938,0.023
70,0.004,-0.949,0.008
71,0.000,-0.934,0.008
72,-0.012,-0.953,0.035
73,-0.008,-0.945,0.051
74,-0.008,-0.945,0.051
75,0.000,-0.934,0.043
76,0.020,-0.945,0.020
77,-0.016,-0.949,-0.020
78,-0.016,-0.941,0.004
79,0.004,-0.945,0.020
80,-0.004,-0.941,0.012
81,-0.008,-0.941,0.008
82,-0.004,-0.938,0.012
83,0.004,-0.938,0.023
84,-0.004,-0.941,0.008
85,-0.004,-0.941,0.012
86,0.000,-0.953,0.008
87,-0.004,-0.938,0.027
88,0.004,-0.941,0.008
89,-0.004,-0.938,0.016
90,-0.004,-0.945,0.008
91,0.000,-0.949,0.020
92,0.000,-0.953,0.008
93,-0.004,-0.945,0.004
94,0.000,-0.934,0.027
95,0.000,-0.949,0.020
